Attacker,Fast Move,Charged Move,Level,"Arceus (Fairy), Tier 5","Arceus (Fairy), Tier 5","Arceus (Grass), Tier 5","Arceus (Grass), Tier 5","Shaymin, Tier 5","Shaymin, Tier 5","Tapu Bulu, Tier 5","Tapu Bulu, Tier 5","Tapu Fini, Tier 5","Tapu Fini, Tier 5","Tapu Koko, Tier 5","Tapu Koko, Tier 5","Tapu Lele, Tier 5","Tapu Lele, Tier 5","Xerneas, Tier 5","Xerneas, Tier 5","Zacian (Hero), Tier 5","Zacian (Hero), Tier 5","Mega Audino, Mega Tier","Mega Audino, Mega Tier","Mega Gardevoir, Mega Tier","Mega Gardevoir, Mega Tier","Mega Altaria, Mega Tier","Mega Altaria, Mega Tier","Azumarill, Tier 3","Azumarill, Tier 3","Bellossom, Tier 3","Bellossom, Tier 3","Gardevoir, Tier 3","Gardevoir, Tier 3","Granbull, Tier 3","Granbull, Tier 3","Grotle, Tier 3","Grotle, Tier 3","Kirlia, Tier 3","Kirlia, Tier 3","Ludicolo, Tier 3","Ludicolo, Tier 3","Meganium, Tier 3","Meganium, Tier 3","Mr. Mime, Tier 3","Mr. Mime, Tier 3","Tangela, Tier 3","Tangela, Tier 3","Togekiss, Tier 3","Togekiss, Tier 3","Togetic, Tier 3","Togetic, Tier 3","Wigglytuff, Tier 3","Wigglytuff, Tier 3"
(Boss weights),,,,3.125,0.0,3.125,0.0,6.25,0.0,6.25,0.0,6.25,0.0,6.25,0.0,6.25,0.0,6.25,0.0,6.25,0.0,11.666666666666666,0.0,11.666666666666666,0.0,11.666666666666666,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Venusaur,Vine Whip,Sludge Bomb,40,1.6268259449506175,1.6585457308348874,1.7482765449244164,1.7927872701837668,1.8713533610201911,1.9235294638533635,2.008845696238112,2.0791642872517055,1.46898099402581,1.4864099745387047,1.5963049178625477,1.639168883900106,1.9104131778401303,1.7860314031715177,1.7575148979881208,1.7909303038359021,1.6770236154413016,1.7411678703021374,1.723048982724822,1.773647420547134,1.5553314551430037,1.5426514118082757,1.879105477089239,1.9431923286377781,1.479969607435508,1.5502261044900785,1.8567688072476702,1.967615122093209,1.9223615647283891,1.9706653987959657,1.6826654066999627,1.7726481096397353,1.940588249222187,2.063670330398875,1.984352625064092,2.0824694628194194,1.667876390762238,1.713240735743085,1.9603088585283979,2.0461362803354124,1.9215601233785773,1.8955740447602512,1.8836373219167697,2.001919936504852,1.9206567012232532,1.9949718467782627,1.8674937786273307,2.0175227557354156,1.6893538184160262,1.7514805082751588
Roserade,Poison Jab,Sludge Bomb,30,1.5333230368327277,1.342181845639153,1.5344961991856245,1.354255117632293,1.3158348828414441,1.328194491762116,1.3545646437614283,1.33485928295454,1.33318297980924,1.329250977405302,1.5256450799653987,1.405542646130231,1.5396457774282009,1.4733000991859757,1.4992866869014825,1.4503492614472242,1.335594580806077,1.337797630519812,1.369785896596376,1.3745866208213284,1.5012678444934018,1.3048751291142922,1.4630870565433731,1.4373484021791572,1.4084324648516984,1.4357663635995688,1.3265064510316407,1.3875718882186787,1.6279190938206292,1.6097380566564523,1.3584648516534292,1.3551447892742465,1.3266562800411048,1.3967244623974164,1.5669005717102067,1.6143813646750846,1.3734685841904553,1.3778223565221703,1.327622791583287,1.3621805634901738,1.5846876351727122,1.5804010901020513,1.3630944593383882,1.3950650908694153,1.4982558016536132,1.4397858265212773,1.3991780077429818,1.4200790838756696,1.370036838017674,1.365773150945835
Nidoqueen,Poison Jab,Sludge Wave,30,2.0430859641964934,1.905691347807639,2.042512551384502,1.914005273637473,2.1309973757399097,2.031455959714498,2.255671765617086,1.99136729961708,2.0585585736519625,1.9711418748740788,1.9621221872617691,1.9210810845506676,2.387934113987412,2.1724486364412368,2.1120916555642237,2.047842550935454,1.9824792245337568,1.9848478884416987,1.9750816757170329,1.9643316739600676,2.311907258288976,1.987228361355035,2.037982436705257,1.9762890137263713,2.0373315254786095,2.063704066201334,1.9880101931663479,2.032565219932901,2.4001357903118214,2.3516749660794627,1.9928377181395154,2.0558210190946626,2.037765770543972,2.0856419266085457,2.352603203299957,2.3853220322704387,2.1625131314470463,2.0620970820251263,2.0399699992137563,2.038093698093245,2.3630621380114474,2.2839740098788335,2.0007868189987508,2.0100703017050088,1.9741486559344863,1.97085245634696,1.9990027459851782,2.0824459353076734,2.007304356375921,2.025807878883624
Salazzle,Poison Jab,Sludge Wave,30,1.9440767020651777,1.6281730704465118,1.9810128749221265,1.6199623058451662,1.6803732304032208,1.6401394088654389,1.6712656095161964,1.6260158055901357,1.8840562115980988,1.7640704049707734,1.9666650467003064,1.6883594871935357,2.133535662026139,1.8803139243836984,1.9496790032318767,1.7935366220842062,1.7286898021654105,1.6495516580692706,1.6404711509003038,1.6112977269966327,2.030655657716526,1.6531335638227156,1.728717125765366,1.681063074218483,1.6712709316829606,1.6983090916449883,1.6302542506178634,1.6755729814197995,2.1145060920991456,1.9337867711990415,1.6920338023168984,1.6344281132940268,1.6520881379369132,1.6824448664339937,1.948954106085504,1.9480972672967574,1.6578799653117788,1.624667484032799,1.6998681636938069,1.667021626262295,2.1705536732038526,2.0743548814638184,1.6461822184467996,1.6767410578675113,1.7019328053789546,1.6472172769683375,1.7840100151352536,1.7398662513695726,1.6254931345070975,1.6095335839651606
Salazzle,Poison Jab,Poison Fang,30,1.9453133117879056,1.7603182734141352,1.9565292662620886,1.7730530665362307,1.838462361827867,1.823575121846565,1.8156074294940865,1.8043147240854576,1.9900894259803157,1.9296326176076004,1.9885514990553572,1.8535387458319776,2.185063963982106,2.0504551465736207,2.044286382051764,1.9429105758887248,1.8352640326512106,1.8098672410861065,1.8257210913758644,1.798122603431774,2.0327581106153056,1.803430696090305,1.8878541596350678,1.8319127674509619,1.8469031595756817,1.8840523664622097,1.815973693266086,1.8808757300311507,2.257413806450596,2.1329746870356256,1.842392940920955,1.8036423771872956,1.8277540737513556,1.8845433562691496,2.144754931400444,2.1721404113125917,1.8399868004288222,1.8133184018816395,1.8886179634465157,1.869648097276531,2.238677976947079,2.184871513374194,1.8323944668794188,1.8770386750164356,1.8679139177501527,1.8105190411685175,1.9493528653136556,1.9406051676257305,1.7859108529915078,1.7984217486265148
