Code name,Type 1,Type 2,Attack,Defense,Stamina,Pre-evolution,Evolutions,Is legendary,Is mythical,Is shadow,Is mega,Base code name,Base display name,Form code name,Form display name,Mega code name,Mega display name,Display name,Fast moves,Charged moves
BULBASAUR,Grass,Poison,118,111,128,,['IVYSAUR'],False,False,False,False,BULBASAUR,Bulbasaur,,,,,Bulbasaur,"['VINE_WHIP_FAST', 'TACKLE_FAST']","['SEED_BOMB', 'SLUDGE_BOMB', 'POWER_WHIP', 'RETURN']"
IVYSAUR,Grass,Poison,151,143,155,BULBASAUR,['VENUSAUR'],False,False,False,False,IVYSAUR,Ivysaur,,,,,Ivysaur,"['VINE_WHIP_FAST', 'RAZOR_LEAF_FAST']","['SLUDGE_BOMB', 'SOLAR_BEAM', 'POWER_WHIP', 'RETURN']"
VENUSAUR,Grass,Poison,198,189,190,IVYSAUR,[],False,False,False,False,VENUSAUR,Venusaur,,,,,Venusaur,"['VINE_WHIP_FAST', 'RAZOR_LEAF_FAST']","['PETAL_BLIZZARD', 'SLUDGE_BOMB', 'SOLAR_BEAM', 'RETURN', 'FRENZY_PLANT']"
CHARMANDER,Fire,,116,93,118,,['CHARMELEON'],False,False,False,False,CHARMANDER,Charmander,,,,,Charmander,"['EMBER_FAST', 'SCRATCH_FAST']","['FLAMETHROWER', 'FLAME_CHARGE', 'FLAME_BURST', 'RETURN']"
CHARMELEON,Fire,,158,126,151,CHARMANDER,['CHARIZARD'],False,False,False,False,CHARMELEON,Charmeleon,,,,,Charmeleon,"['EMBER_FAST', 'FIRE_FANG_FAST', 'SCRATCH_FAST']","['FLAMETHROWER', 'FLAME_BURST', 'FIRE_PUNCH', 'RETURN']"
CHARIZARD,Fire,Flying,223,173,186,CHARMELEON,[],False,False,False,False,CHARIZARD,Charizard,,,,,Charizard,"['AIR_SLASH_FAST', 'FIRE_SPIN_FAST', 'DRAGON_BREATH_FAST', 'EMBER_FAST', 'WING_ATTACK_FAST']","['DRAGON_CLAW', 'FIRE_BLAST', 'OVERHEAT', 'RETURN', 'BLAST_BURN', 'FLAMETHROWER']"
SQUIRTLE,Water,,94,121,127,,['WARTORTLE'],False,False,False,False,SQUIRTLE,Squirtle,,,,,Squirtle,"['TACKLE_FAST', 'BUBBLE_FAST']","['AQUA_JET', 'AQUA_TAIL', 'WATER_PULSE', 'RETURN']"
WARTORTLE,Water,,126,155,153,SQUIRTLE,['BLASTOISE'],False,False,False,False,WARTORTLE,Wartortle,,,,,Wartortle,"['BITE_FAST', 'WATER_GUN_FAST']","['ICE_BEAM', 'AQUA_JET', 'HYDRO_PUMP', 'RETURN']"
BLASTOISE,Water,,171,207,188,WARTORTLE,[],False,False,False,False,BLASTOISE,Blastoise,,,,,Blastoise,"['BITE_FAST', 'WATER_GUN_FAST']","['FLASH_CANNON', 'ICE_BEAM', 'HYDRO_PUMP', 'SKULL_BASH', 'RETURN', 'HYDRO_CANNON']"
CATERPIE,Bug,,55,55,128,,['METAPOD'],False,False,False,False,CATERPIE,Caterpie,,,,,Caterpie,"['BUG_BITE_FAST', 'TACKLE_FAST']",['STRUGGLE']
