Attacker,Fast Move,Charged Move,Level,"Arceus (Flying), Tier 5","Arceus (Flying), Tier 5","Arceus (Water), Tier 5","Arceus (Water), Tier 5","Keldeo, Tier 5","Keldeo, Tier 5","Manaphy, Tier 5","Manaphy, Tier 5","Phione, Tier 5","Phione, Tier 5","Kyogre, Tier 5","Kyogre, Tier 5","Lugia, Tier 5","Lugia, Tier 5","Suicune, Tier 5","Suicune, Tier 5","Tornadus, Tier 5","Tornadus, Tier 5","Tornadus (Therian), Tier 5","Tornadus (Therian), Tier 5","Yveltal, Tier 5","Yveltal, Tier 5","Mega Aerodactyl, Mega Tier","Mega Aerodactyl, Mega Tier","Mega Blastoise, Mega Tier","Mega Blastoise, Mega Tier","Mega Gyarados, Mega Tier","Mega Gyarados, Mega Tier","Mega Pidgeot, Mega Tier","Mega Pidgeot, Mega Tier","Mega Sharpedo, Mega Tier","Mega Sharpedo, Mega Tier","Mega Slowbro, Mega Tier","Mega Slowbro, Mega Tier","Aerodactyl, Tier 3","Aerodactyl, Tier 3","Alomomola, Tier 3","Alomomola, Tier 3","Azumarill, Tier 3","Azumarill, Tier 3","Cloyster, Tier 3","Cloyster, Tier 3","Crawdaunt, Tier 3","Crawdaunt, Tier 3","Dewgong, Tier 3","Dewgong, Tier 3","Drifblim, Tier 3","Drifblim, Tier 3","Farfetch'd, Tier 3","Farfetch'd, Tier 3","Floatzel, Tier 3","Floatzel, Tier 3","Lapras, Tier 3","Lapras, Tier 3","Lumineon, Tier 3","Lumineon, Tier 3","Noctowl, Tier 3","Noctowl, Tier 3","Octillery, Tier 3","Octillery, Tier 3","Pelipper, Tier 3","Pelipper, Tier 3","Poliwrath, Tier 3","Poliwrath, Tier 3","Sharpedo, Tier 3","Sharpedo, Tier 3","Skarmory, Tier 3","Skarmory, Tier 3","Slowbro, Tier 3","Slowbro, Tier 3","Slowking, Tier 3","Slowking, Tier 3","Starmie, Tier 3","Starmie, Tier 3","Swellow, Tier 3","Swellow, Tier 3","Togetic, Tier 3","Togetic, Tier 3","Tranquill, Tier 3","Tranquill, Tier 3","Vaporeon, Tier 3","Vaporeon, Tier 3","Walrein, Tier 3","Walrein, Tier 3","Xatu, Tier 3","Xatu, Tier 3"
(Boss weights),,,,2.7777777777777777,0.0,2.7777777777777777,0.0,5.555555555555555,0.0,5.555555555555555,0.0,5.555555555555555,0.0,5.555555555555555,0.0,5.555555555555555,0.0,5.555555555555555,0.0,2.7777777777777777,0.0,2.7777777777777777,0.0,5.555555555555555,0.0,5.833333333333333,0.0,5.833333333333333,0.0,5.833333333333333,0.0,5.833333333333333,0.0,5.833333333333333,0.0,5.833333333333333,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Raikou,Thunder Shock,Wild Charge,40,1.0,1.0,1.0,1.0,1.0691341070942033,1.0676613309954686,1.0,1.002065610668684,0.9999999999999999,1.0,1.0,1.0,1.037805017679336,1.0394443796430883,1.004577332628221,1.0,1.0,1.0,1.0044079136402617,1.01694362875098,1.0,1.0026996165739244,1.0,1.0,1.0055365365173679,1.0,1.0,1.0,1.0026405218663073,1.0062649736513172,1.0,1.0,1.0205353481470982,1.0397492310197658,1.0,1.0254599239604982,1.0208452083212358,1.0073305607389778,1.004549471878067,1.0165297159638114,1.0,1.0482677041221795,1.0,1.0,1.0114867328294361,1.0065360825909686,1.0267945896173476,1.0230823745094528,1.033685500185861,1.0277835591947635,1.0182251936734497,1.0289341924191469,1.0,1.0,1.023383812429873,1.0447335425069655,1.0106416220400698,1.0036837806503456,1.0,1.0180214729532966,1.0176373686133362,1.029755857671715,1.0799457758258484,1.0828038906420678,1.0,1.030862058250596,1.0032717694929103,1.0226148077577162,1.0,1.0146434737315722,1.0029023431680473,1.0139339697143064,1.0,1.0130680206634968,1.0442699429607518,1.0272272942125982,1.0116976097818466,1.0136517445955224,0.9999999999999999,1.020068025790696,1.0,1.0221011344795854,1.0,1.0,1.0591629284505244,1.055387939070765
Shadow Raikou,Volt Switch,Wild Charge,40,1.0261110389324966,1.0487233685442532,1.0240010574891865,1.047647276419881,1.0815748408863246,1.0920301535988857,1.0189242236195413,1.028041985771335,1.0157953591115694,1.0226411189435487,1.0170033107958742,1.0384388787380923,1.0340472478353804,1.0552421071801101,1.0108158952136936,1.0151004188349584,1.0128670555694088,1.0320176263656546,1.0,1.0251685756282922,1.0237991725429458,1.0331153936996367,1.0298525968164847,1.0482213810893948,1.0140884440361841,1.0213579513261004,1.0278635881154974,1.0402317730659898,1.015260931656958,1.0173866054423124,1.0223636553729687,1.0309743830693046,1.0247744068666782,1.045720039116522,1.0274906703301012,1.0494128311148379,1.0,1.0048706985628737,1.0058315229994055,1.0160066101398457,1.0009460815480142,1.0417391848934037,1.0032953490348113,1.021598640099645,1.0100103678369297,1.0109258286900151,1.0034645869399068,1.0078358053938383,1.0127070264686775,1.0140993779639196,1.0273175093925593,1.0316283351144262,1.0086031202428802,1.0153811481231403,1.0225466741086244,1.0220987688470011,1.0045419990777296,1.006407379745124,1.0144452120939145,1.0294353125344529,1.021011367690938,1.0279086634820318,1.0995167389391405,1.0975783828230192,1.011229447789797,1.02853223441104,1.0098534655765277,1.0210620563948627,1.0229579216146962,1.0372012394091525,1.0272360467345538,1.036248625279459,1.020910711143371,1.0337139269953057,1.0261926556366014,1.0111510686886385,1.0212533820508425,1.040251229286587,1.0083266435146017,1.0280639441504686,1.023929076546093,1.0411702706114656,1.001716323364355,1.0118437141853112,1.0445722998462807,1.0284451005347277
Shadow Raikou,Thunder Shock,Thunderbolt,40,1.0794120667097853,1.0729806676521774,1.080398229094136,1.0753400827637232,1.155525243617164,1.1472323599400365,1.0747628960663593,1.0728201091618201,1.078689682142095,1.0766346050507363,1.0885819983757257,1.0777227544732562,1.119882622165739,1.1144172351294563,1.0813517826201073,1.072555539920022,1.077876670181303,1.0762771611828958,1.093165679511372,1.0958593525152092,1.0847646098349593,1.0771667235397988,1.0796707011726676,1.0724221812589154,1.0782197677978664,1.0678754621399686,1.074184193963994,1.0688010843446176,1.085376374791628,1.084597624601936,1.0824014821555898,1.0732050095931414,1.1052588983969645,1.1132424554793303,1.0837926307904486,1.0923982376231949,1.1001553631410752,1.0992982177920343,1.1003178364307924,1.0945468657870554,1.0872751712457633,1.134489996890225,1.0763388315067968,1.0927925749930996,1.0760388852815197,1.0864592912753694,1.114426973830939,1.1033924617845143,1.10919130240438,1.1184333589491164,1.0845540108160423,1.1029861587228167,1.0740359694449322,1.0842621059707276,1.1078346934577155,1.1015721655317394,1.080517864071822,1.0968667903916776,1.0913072603947584,1.0841664568413436,1.0949779636528438,1.1070865887834287,1.1687088463093473,1.1534413300261004,1.0887565156171688,1.0992121104322612,1.0867410723869306,1.0981003389310942,1.081617489456692,1.0867622537355626,1.0812536544524585,1.0851428215545478,1.0862807294519916,1.0802961222074632,1.120659108018484,1.1192574767660608,1.0783386825502461,1.0893946855750567,1.0750894396263733,1.0943747315015593,1.0839514351635433,1.0813584322388792,1.0800667408901243,1.0836000128811705,1.1247010139953901,1.1225796646247863
Shadow Raikou,Volt Switch,Thunderbolt,40,1.1073564228054433,1.1268654472540776,1.1060020325938196,1.1251314226507558,1.170345611780489,1.1725479795555256,1.0944168345509233,1.0966330002908546,1.099626719851227,1.1044340100184311,1.1045114956009696,1.1125532129128217,1.121002434015682,1.131990115920705,1.0847239686754726,1.085641525184063,1.0932534318288352,1.1097240385894653,1.0764060852444743,1.0958530119764507,1.1078729799690687,1.1120072937971925,1.1129227028431112,1.1231794623485374,1.088010597344197,1.0893447709030988,1.1033000776953052,1.1122601663985014,1.094523283341999,1.0980079309408683,1.1066657513741334,1.1093820696423788,1.104143713947137,1.1223627139856447,1.102987240972078,1.119508877435322,1.086285384043763,1.0712479821815166,1.084429435317825,1.0756693207509402,1.0775502661705914,1.1254283499188003,1.098292471247441,1.10658943762409,1.085977241025163,1.0832924578286973,1.0809441951665544,1.081550008782656,1.0921945598917953,1.100610016059689,1.099776993005899,1.1068896268771695,1.087201289620339,1.090319072705187,1.090239904795391,1.0989885610396402,1.087086664697253,1.0845475174505466,1.0931155838355924,1.0948551927453953,1.0964264897708345,1.0960578701974495,1.1927823184798205,1.1755944397720246,1.0918684323379295,1.0936286937011264,1.0824488642152066,1.0976828925733417,1.1011887220397891,1.1132942130871188,1.1029301517487802,1.1101372810535974,1.108660185498858,1.1076747842964092,1.1177131635989226,1.1026497603883745,1.0887496843009548,1.1079473664700867,1.0793347741876274,1.1012168836458818,1.0992845328693877,1.1049311660153924,1.0826205848898804,1.0953646153102317,1.1273124156878993,1.121610633190206
Shadow Raikou,Thunder Shock,Thunder,40,1.2361883665505806,1.208682592809002,1.229913522267693,1.2107153791661318,1.3437133033375708,1.3154728993338303,1.2019075618222175,1.215312085970489,1.2101767674025465,1.2151075975862058,1.2697008053282328,1.2532657605803434,1.2804415616543126,1.2805042482729951,1.2198545266804415,1.2134001228679698,1.231547125660219,1.2248924854524785,1.264494781241712,1.2465049847661667,1.2343743529609592,1.2166027511215691,1.2383098408518491,1.226077547770685,1.2297566683769525,1.2128842888350366,1.2328726852696057,1.2254171843541437,1.2431862748179394,1.2284699131605465,1.2353299311057342,1.2311327328266333,1.2655485623728762,1.2764996664514652,1.2267413311151565,1.2453570871557087,1.2480829517997163,1.2283564115789272,1.2337671252121674,1.2295515065319307,1.231577408960674,1.2954998963408313,1.2195994269666433,1.2371907651819212,1.2103550049458556,1.2100198824811859,1.2573749629404884,1.2472927675861447,1.2160912698642463,1.2483254641701065,1.2150611732156271,1.2459764435805256,1.2226646201637876,1.2162527173326463,1.2451140021096474,1.260926294269707,1.2089790285313704,1.2341486009808642,1.2228997683055771,1.2352701892171132,1.2213474381130567,1.2237612250060952,1.2992853348976956,1.2915267557141756,1.2201545423692162,1.2423960563376255,1.2252461256896043,1.237601245019334,1.2129748969567609,1.2284179571279814,1.2169775195791983,1.222415848671714,1.213907671028079,1.216454872226028,1.2500573246750375,1.260563938095787,1.207652852106596,1.2238318467747298,1.204897730226783,1.2168715837487811,1.2092711740451023,1.228679179100533,1.2153745988658715,1.2196361741566684,1.272709639818334,1.2704611759327022
