Attacker,Fast Move,Charged Move,Level,"Arceus (Fairy), Tier 5","Arceus (Fairy), Tier 5","Arceus (Ice), Tier 5","Arceus (Ice), Tier 5","Arceus (Rock), Tier 5","Arceus (Rock), Tier 5","Kyurem (Black), Tier 5","Kyurem (Black), Tier 5","Kyurem (White), Tier 5","Kyurem (White), Tier 5","Kyurem, Tier 5","Kyurem, Tier 5","Regice, Tier 5","Regice, Tier 5","Regirock, Tier 5","Regirock, Tier 5","Terrakion, Tier 5","Terrakion, Tier 5","Xerneas, Tier 5","Xerneas, Tier 5","Mega Aerodactyl, Mega Tier","Mega Aerodactyl, Mega Tier","Mega Altaria, Mega Tier","Mega Altaria, Mega Tier","Mega Audino, Mega Tier","Mega Audino, Mega Tier","Mega Diancie, Mega Tier","Mega Diancie, Mega Tier","Mega Gardevoir, Mega Tier","Mega Gardevoir, Mega Tier","Mega Glalie, Mega Tier","Mega Glalie, Mega Tier","Wigglytuff, Tier 3","Wigglytuff, Tier 3","Aerodactyl, Tier 3","Aerodactyl, Tier 3","Boldore, Tier 3","Boldore, Tier 3","Cryogonal, Tier 3","Cryogonal, Tier 3","Gardevoir, Tier 3","Gardevoir, Tier 3","Glaceon, Tier 3","Glaceon, Tier 3","Glalie, Tier 3","Glalie, Tier 3","Granbull, Tier 3","Granbull, Tier 3","Jynx, Tier 3","Jynx, Tier 3","Kirlia, Tier 3","Kirlia, Tier 3","Mr. Mime, Tier 3","Mr. Mime, Tier 3","Nosepass, Tier 3","Nosepass, Tier 3","Piloswine, Tier 3","Piloswine, Tier 3","Shuckle, Tier 3","Shuckle, Tier 3","Sudowoodo, Tier 3","Sudowoodo, Tier 3","Togetic, Tier 3","Togetic, Tier 3","Weezing (Galarian), Tier 3","Weezing (Galarian), Tier 3"
(Boss weights),,,,2.7777777777777777,0.0,2.7777777777777777,0.0,2.7777777777777777,0.0,2.7777777777777777,0.0,2.7777777777777777,0.0,2.7777777777777777,0.0,8.333333333333334,0.0,8.333333333333334,0.0,8.333333333333334,0.0,8.333333333333334,0.0,5.833333333333333,0.0,5.833333333333333,0.0,5.833333333333333,0.0,5.833333333333333,0.0,5.833333333333333,0.0,5.833333333333333,0.0,0.8823529411764706,0.0,0.8823529411764706,0.0,0.8823529411764706,0.0,0.8823529411764706,0.0,0.8823529411764706,0.0,0.8823529411764706,0.0,0.8823529411764706,0.0,0.8823529411764706,0.0,0.8823529411764706,0.0,0.8823529411764706,0.0,0.8823529411764706,0.0,0.8823529411764706,0.0,0.8823529411764706,0.0,0.8823529411764706,0.0,0.8823529411764706,0.0,0.8823529411764706,0.0,0.8823529411764706,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Metagross,Bullet Punch,Meteor Mash,40,1.0,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Shadow Metagross,Zen Headbutt,Meteor Mash,40,1.1705489186747655,1.1867736611729323,1.1702529439959477,1.1901266418597012,1.1711447551619276,1.1895905411161192,1.1522163023350678,1.1742501512652317,1.1565257900754993,1.1777262652478142,1.1849816972897205,1.1968072329049775,1.1908651850764251,1.2039645696321384,1.184101586949058,1.2066125791239204,1.0460133914115302,1.0332881667788627,1.1929847974714458,1.1961717122739621,1.1666430159668606,1.1865151483742025,1.1628941541661253,1.18280325895018,1.1813378129276295,1.1946248860491795,1.2534954874605173,1.291407237145106,1.2634861411567329,1.3113656426055886,1.1550319123952077,1.181409442944288,1.2347144879159442,1.2666999829110552,1.1637857018142717,1.1873110327497731,1.2005915810091403,1.197830880299669,1.1970873201658996,1.2228072802122878,1.2982324568652501,1.325808422872857,1.1743576174929338,1.1790397029050452,1.1630647462806158,1.1934634439652376,1.1628515773488948,1.1737857245393681,1.3019656527971089,1.3165520373859363,1.3526025897394685,1.3033095849393435,1.2783473262979068,1.2688681328578957,1.1922426957186503,1.2011901273471035,1.1774912306483103,1.180127932023456,1.1767088735509361,1.184435378137406,1.1489667223493552,1.1530525614029916,1.1875068463713134,1.2091616667238272,1.0334172283073129,1.0289053169135238
Shadow Metagross,Bullet Punch,Flash Cannon,40,1.3020872342857446,1.2969764373114774,1.3021209439292931,1.2995904941101888,1.2987327666832817,1.2984900553352638,1.3128185679346396,1.3208536435711054,1.342950707738262,1.3111131649787,1.3220056875185682,1.3176732854439182,1.3216214242959032,1.2972583835892457,1.3020798973694718,1.297587866782423,1.336035741880223,1.3159664770375605,1.3155523197193644,1.3032603908080314,1.3145135782323956,1.3172802498538685,1.3033607286289874,1.3054261310436033,1.2904887546675556,1.2926979358726634,1.3176822966137438,1.3180132403111728,1.302837376098654,1.3127722442367729,1.3111844184099442,1.3245474034168925,1.3109683980048974,1.345856157866165,1.301760690566878,1.3126611925362828,1.3145158117654936,1.3116611523574413,1.2924172279505073,1.2937385570772237,1.3129469935049278,1.32036101726548,1.3122565353873028,1.3014315475414984,1.2965557800635026,1.3116817271715169,1.316582409922558,1.3073566188414667,1.288523703005173,1.2847794221655924,1.286442862730824,1.3031126136437614,1.3157665171111936,1.289172435298681,1.2955831943901561,1.3009483644127977,1.3134955855945871,1.3074864946906661,1.2754565742337403,1.26710223956922,1.283329014878209,1.2928375884834535,1.2780875234026794,1.2913459667697587,1.2945752910575075,1.2934626306714043
Shadow Metagross,Splash,Meteor Mash,40,1.3739550453877298,1.404682483654197,1.3754994290391327,1.4059071748839025,1.3739005368790835,1.4081393550678656,1.3618879280347775,1.3940136196995903,1.379148100913073,1.4143525415240044,1.3654658391875967,1.3965087431294025,1.3776341340824034,1.3908456901935156,1.3673957312690985,1.3882870104302956,1.4742236724923452,1.385461070975511,1.379445021709269,1.3994913461190273,1.3748841786815462,1.4062450391950043,1.3777305824728252,1.4057422136351387,1.3758341405984469,1.410621587317017,1.3510944880368603,1.392021241023864,1.371812737232673,1.3984667278403469,1.3728589905336668,1.3944588457788811,1.4655076681659471,1.5306675945533899,1.3868089827644663,1.42338874807388,1.3845500468744767,1.4028407953254634,1.3869312670665617,1.4237487117772636,1.3541659711271035,1.3717978114394755,1.3336776395340533,1.3505336515898094,1.3664671793164633,1.4186719826792833,1.3930344390188658,1.401542149532811,1.3980600636786669,1.3900112714794302,1.4693754363295681,1.460366420607766,1.349876333838383,1.3422082291056265,1.3775864362909784,1.4283237156440332,1.3879745444388374,1.4162868814022562,1.4091326352713884,1.3965428710523875,1.3213554843233488,1.3331704656299679,1.3702825080576848,1.3946902418018192,1.4099899781710772,1.4328583101308907
Shadow Metagross,Zen Headbutt,Flash Cannon,40,1.6473521239195308,1.6438843399092222,1.6433246327308322,1.6461735074701616,1.6353293409463572,1.64764583224136,1.6520340761682895,1.6511396943658887,1.6862883087569531,1.643775228047871,1.6792950187451228,1.6773873431133695,1.7253129470586017,1.6900145174041543,1.684812614580326,1.6864960483893976,1.3491664597178825,1.332223195602551,1.693817075078068,1.688249761872775,1.6504346961597836,1.679089774945896,1.6302014354876426,1.6397819366435915,1.624836539153732,1.6480666421993044,1.9762218308385306,1.9965259533871451,1.934551441544999,2.0311331142700424,1.5981622780198264,1.6481048155422258,1.7022106169806182,1.7462233069563795,1.6630052296916413,1.6623396356088578,1.6697144842133458,1.6575768429741677,1.6909479156068776,1.6947170675723582,2.029159293182266,2.005833165109485,1.6477076902635042,1.64650460255773,1.6529081731569637,1.6689014110642473,1.64211471841589,1.6411193104363846,1.9457481817117654,1.9555974027660676,2.050686759635793,2.0198071580333496,1.9281634068668154,1.927258504209358,1.635110875695682,1.649638217156088,1.648291475037708,1.633997012464206,1.5911279164913676,1.5856117723160534,1.5958530457752131,1.5992779635558332,1.6354831417926157,1.6694878855490407,1.2865845132624598,1.3033006835055518
