Attacker,Fast Move,Charged Move,Level,"Arceus (Psychic), Tier 5","Arceus (Psychic), Tier 5","Azelf, Tier 5","Azelf, Tier 5","Cresselia, Tier 5","Cresselia, Tier 5","Deoxys, Tier 5","Deoxys, Tier 5","Deoxys (Attack), Tier 5","Deoxys (Attack), Tier 5","Deoxys (Defense), Tier 5","Deoxys (Defense), Tier 5","Deoxys (Speed), Tier 5","Deoxys (Speed), Tier 5","Latias, Tier 5","Latias, Tier 5","Latios, Tier 5","Latios, Tier 5","Mesprit, Tier 5","Mesprit, Tier 5","Mewtwo, Tier 5","Mewtwo, Tier 5","Mewtwo (Armored), Tier 5","Mewtwo (Armored), Tier 5","Uxie, Tier 5","Uxie, Tier 5","Mega Alakazam, Mega Tier","Mega Alakazam, Mega Tier","Mega Latias, Mega Tier","Mega Latias, Mega Tier","Mega Latios, Mega Tier","Mega Latios, Mega Tier","Mega Mewtwo Y, Mega Tier","Mega Mewtwo Y, Mega Tier","Mega Slowbro, Mega Tier","Mega Slowbro, Mega Tier","Raichu (Alola), Tier 3","Raichu (Alola), Tier 3","Alakazam, Tier 3","Alakazam, Tier 3","Claydol, Tier 3","Claydol, Tier 3","Espeon, Tier 3","Espeon, Tier 3","Gothorita, Tier 3","Gothorita, Tier 3","Grumpig, Tier 3","Grumpig, Tier 3","Hypno, Tier 3","Hypno, Tier 3","Jynx, Tier 3","Jynx, Tier 3","Kadabra, Tier 3","Kadabra, Tier 3","Slowbro, Tier 3","Slowbro, Tier 3","Slowking, Tier 3","Slowking, Tier 3","Starmie, Tier 3","Starmie, Tier 3","Wobbuffet, Tier 3","Wobbuffet, Tier 3"
(Boss weights),,,,5.555555555555555,0.0,5.555555555555555,0.0,5.555555555555555,0.0,1.3888888888888888,0.0,1.3888888888888888,0.0,1.3888888888888888,0.0,1.3888888888888888,0.0,5.555555555555555,0.0,5.555555555555555,0.0,5.555555555555555,0.0,2.7777777777777777,0.0,2.7777777777777777,0.0,5.555555555555555,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Mega Gengar,Lick,Shadow Ball,40,0.9999999999999999,0.9999999999999999,1.0,1.0009629080398579,1.0,1.0,1.0145792074961295,1.0128034259170908,1.1901549917325476,1.010405325073647,1.03349866621192,1.0290023048434076,1.0074529294954164,0.9999999999999999,1.0170856024762758,1.0026887606240282,1.0030636940114317,1.0175514857839194,1.00565534676775,1.0142702184085743,1.0350385044644541,1.0072021041286285,1.0,0.9999999999999999,1.032521528938279,1.03439727244535,1.030083243925888,1.0138000818304673,1.018586142168781,1.0152434215207113,1.044202312385792,1.0,1.0391638093133322,1.0228772818133114,1.0,1.0,1.003791249958381,1.00455064004923,1.0004869565217391,1.0176234110199645,1.0,1.0066720109362026,1.0502009363789833,1.0150131482939257,1.0142756055721218,1.0202469476285332,1.0,1.0,1.0021035518827774,1.0,1.010870715578326,1.0088066552323427,1.014965262606901,1.0,1.0173632963678012,1.0278291556537893,1.0162996947082767,1.0309336517191217,1.014212497731382,1.0329971884507125,1.036376806586776,1.0198731238562797
Mega Gengar,Shadow Claw,Shadow Ball,40,1.0110696434199151,1.0028893174493112,1.0239186593515934,1.0,1.0065311625513194,1.0133294743902201,1.0,1.0,1.2583887909490918,1.0,1.0,1.0,1.0,1.010149269822942,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0045892810089507,1.0049643550930436,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0272828505457334,1.0016910288582799,1.0,1.0,1.0094264252117409,1.005594013053178,1.0,1.0,1.0,1.0,1.0014347989354484,1.0,1.0,1.0,1.0,1.0,1.0202734549458048,1.0032437702079264,1.0,1.0085786097385923,1.0,1.0,1.0,1.0135537453795314,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0101029557194756
Mega Gengar,Hex,Shadow Ball,40,1.028329832617051,1.0626329459979729,1.0636684508666903,1.067167495012538,1.0464497193569458,1.0520010607587789,1.0507446561375997,1.0656908211739822,1.2802385416654578,1.1003095195738293,1.0579632629694142,1.059436604238451,1.0468571901041206,1.058258878111382,1.064078960889869,1.0690091253355885,1.0534943366472864,1.086030668356055,1.0392238148228812,1.0875389809139284,1.0851984330887061,1.0901204082781697,1.0474870461949324,1.0463184854115857,1.0531921280267966,1.0657355661786247,1.0792001666428424,1.0835278420868422,1.066586830820208,1.1084590220163344,1.1515251137135323,1.0887934147145666,1.0945747877660823,1.1066089364021077,1.0483704922215051,1.059619521729624,1.040572576541242,1.0483872239019867,1.0391003377367363,1.0737827900582364,1.0206513112093014,1.0351544237676382,1.083797259606411,1.0708261358792164,1.0499776721175176,1.0512739308345225,1.0463423521295943,1.0320985306814996,1.0413370370664554,1.0514627034687043,1.0566860614726792,1.0589565283105478,1.045901298861969,1.0593291002327172,1.0420925650225568,1.0493182531742282,1.0386289009497964,1.0566757825288753,1.0412048943895045,1.0579771334978767,1.0079759492540201,1.0
Mega Gengar,Sucker Punch,Shadow Ball,40,1.0750452041360683,1.0803353557141733,1.1036842518277825,1.0684052598870617,1.0623376104348705,1.071462640068796,1.0562630730402438,1.0617692212003598,1.2803444857591408,1.0686003388049954,1.0927343670698484,1.0884522162072738,1.085536209605592,1.0741481267657391,1.0841091625946433,1.083311162086829,1.0776207106050217,1.0966157525180515,1.0805133485347649,1.0969594598495143,1.0929810327457667,1.075973264053665,1.061003260979768,1.0692445494051668,1.0953019996899824,1.0966082809491184,1.0978717651209846,1.06234947780497,1.0987163730775342,1.091537078762826,1.1469997488380927,1.0794949600228358,1.0870130025740168,1.0810084389479149,1.0720778897462904,1.0676729524916093,1.0679449496856945,1.0579553128512844,1.0540710529690906,1.064167077016788,1.0386630462999689,1.034527891194389,1.1077291238994373,1.0742850819496352,1.0640517532233038,1.057736327811112,1.0979232632874378,1.0815189146698483,1.0767599586677878,1.0880155079730407,1.0539757298983974,1.0544841869058132,1.0756097909511886,1.0874846774451596,1.0586691988528147,1.0645912426143556,1.0575092265943014,1.0711767494918294,1.0609260687491262,1.0714084793001104,1.0953792016956934,1.0969663295203822
Mega Gengar,Shadow Claw,Shadow Punch,40,1.1373117668082797,1.2129167623962331,1.1612045243726603,1.2145726548208018,1.2287073955060832,1.2370567077898433,1.1760987613562437,1.2145730367895418,1.2561787208883786,1.1773855279724197,1.2095353463991783,1.2173953043425834,1.2186708806471036,1.2410497229883177,1.2056057988305262,1.2186578218714192,1.1911226304045317,1.2186997164011484,1.1420835396698574,1.2219956842456492,1.1842557578679724,1.2085824639861011,1.2200638022209989,1.2268292714942997,1.2204475737464224,1.222411861766844,1.1150205348462152,1.208041560954181,1.150045153763731,1.2101595211756808,1.1105196784220683,1.1926629742163897,1.1539333967384282,1.1920127076061853,1.2147003049562626,1.2259016294453602,1.2200152173266325,1.202300951882693,1.198177658073618,1.2223691457506705,1.2164311582108462,1.2261691923607214,1.2554223569831438,1.218097734125936,1.222116014807203,1.2162120954305615,1.2260933313378246,1.2232735670384682,1.2222978370434012,1.2200039940112994,1.2044847566203878,1.2088624740323626,1.2315285764510404,1.2322710189108868,1.2242849878989637,1.2294676392596935,1.207824287652646,1.2299441207904773,1.2132566193574212,1.2193701121185725,1.2172042582885314,1.2141142722388945
Mega Gengar,Shadow Claw,Dark Pulse,40,1.1738107834972773,1.2305750011715126,1.1925537375832216,1.2346293247241829,1.2384923291828709,1.2522190299664355,1.1928913264333803,1.229614779163334,1.2980373815196031,1.2139412507889495,1.221837582372072,1.2283644828222673,1.230099699559844,1.253410333190741,1.203748075922757,1.2329983512493716,1.2139181555629515,1.2355139175041419,1.1668007200281685,1.238304802171501,1.2084334175846358,1.2359406404079565,1.224716112096063,1.245982606674112,1.2259393327057055,1.231879336024185,1.1611446462298878,1.229488069016835,1.189998944254946,1.2300449144665397,1.1726287599445546,1.2331044049425886,1.1822379856075609,1.2249257396888102,1.238755905534214,1.2440232068033907,1.229079928988436,1.2188780605224787,1.2072383395322988,1.2305805363110045,1.2224396741344967,1.2397262306160406,1.248033326568694,1.2470276584921896,1.2276328607891134,1.2329853011575689,1.2369267570387041,1.2323411100435007,1.2316471133391043,1.2291258062504564,1.2198448587734754,1.2237210307525204,1.2264332661508177,1.2414649468534986,1.2240088785143801,1.237557985841786,1.2199545454545455,1.2342469538015475,1.2227781953838128,1.237802599644767,1.2274089553216274,1.2213851486062148
Mega Gengar,Lick,Shadow Punch,40,1.1912289010685253,1.280404374102422,1.2521172426832876,1.2823925181363465,1.2562034682574057,1.2714598765288396,1.263902295847277,1.3046456406933564,1.3874416955166748,1.2583565560219185,1.3152461925121097,1.3294386717714552,1.2692280715667972,1.2861854117614324,1.2841434301616217,1.2916714972380778,1.2779592162661408,1.3007072662927257,1.233302537149466,1.3039424265900346,1.2665621093621533,1.2931234566908234,1.289531755763188,1.2892637260514281,1.3251693465676955,1.3335304876201322,1.239089062700303,1.2823809835893452,1.2322452765545222,1.2789881116807742,1.2297019234669109,1.264181113177565,1.2712058893377112,1.292586951339236,1.2594857709997076,1.2616936881948528,1.2887030657081564,1.2686525029027524,1.2687677482792528,1.2788282819945007,1.2794989084597115,1.2970702243365007,1.3625379596817528,1.312269855819902,1.2961003532512283,1.2877296370623061,1.270512151435978,1.2811535570285444,1.2812952965473319,1.2875279208483068,1.274681819798599,1.2814890904434497,1.2882011489932803,1.2970140226807392,1.3067046804108127,1.3188292534184245,1.2969024762550883,1.3151495962888373,1.300194240558322,1.3122045294297289,1.3192842699133822,1.3250162187246175
Mega Gengar,Lick,Dark Pulse,40,1.2076759880206838,1.296792103518479,1.2426415662020158,1.2907958794808843,1.2788399382802547,1.290697719243465,1.2722745130951814,1.312420598066727,1.3876998409843815,1.290005643105517,1.3234172584463095,1.3354657317288445,1.2766885943264819,1.2980049246521268,1.2932416527883683,1.3016292865275145,1.2836607081033633,1.3204615931399861,1.2368721851670768,1.317363868430684,1.3022933713424683,1.3063735471780065,1.2863366396100235,1.2991483941358009,1.3322534680551692,1.3473499548900076,1.2119004538701932,1.3104062261742844,1.238603879309471,1.3046581932040293,1.2166017432870029,1.292881976314429,1.2657929666803733,1.321975916139721,1.2753593822537366,1.2846925634116029,1.2886530242663563,1.277459966756233,1.2720234278141165,1.2909870391032832,1.2900829424367382,1.3039444048768554,1.3589215369991696,1.3270057849878,1.297584277373608,1.2994503575485103,1.2703993296611853,1.2820797269040456,1.2778826188542345,1.287761239224623,1.2877054442898257,1.2875375932220945,1.3086466951370195,1.294841804867585,1.3079390818990857,1.3244389623511406,1.2986818860244234,1.3215372198584963,1.3048831592933494,1.3290230588124958,1.3016791816488653,1.306465003440378
