Attacker,Fast Move,Charged Move,Level,"Arceus (Fighting), Tier 5","Arceus (Fighting), Tier 5","Arceus (Poison), Tier 5","Arceus (Poison), Tier 5","Keldeo, Tier 5","Keldeo, Tier 5","Terrakion, Tier 5","Terrakion, Tier 5","Mega Venusaur, Mega Tier","Mega Venusaur, Mega Tier","Mega Beedrill, Mega Tier","Mega Beedrill, Mega Tier","Mega Blaziken, Mega Tier","Mega Blaziken, Mega Tier","Mega Gengar, Mega Tier","Mega Gengar, Mega Tier","Mega Lopunny, Mega Tier","Mega Lopunny, Mega Tier","Nidoqueen, Tier 3","Nidoqueen, Tier 3","Amoonguss, Tier 3","Amoonguss, Tier 3","Ariados, Tier 3","Ariados, Tier 3","Blaziken, Tier 3","Blaziken, Tier 3","Combusken, Tier 3","Combusken, Tier 3","Garbodor, Tier 3","Garbodor, Tier 3","Gengar, Tier 3","Gengar, Tier 3","Gloom, Tier 3","Gloom, Tier 3","Hariyama, Tier 3","Hariyama, Tier 3","Haunter, Tier 3","Haunter, Tier 3","Hitmonchan, Tier 3","Hitmonchan, Tier 3","Hitmonlee, Tier 3","Hitmonlee, Tier 3","Hitmontop, Tier 3","Hitmontop, Tier 3","Machamp, Tier 3","Machamp, Tier 3","Machoke, Tier 3","Machoke, Tier 3","Monferno, Tier 3","Monferno, Tier 3","Nidoking, Tier 3","Nidoking, Tier 3","Nidorino, Tier 3","Nidorino, Tier 3","Poliwrath, Tier 3","Poliwrath, Tier 3","Primeape, Tier 3","Primeape, Tier 3","Seviper, Tier 3","Seviper, Tier 3","Toxicroak, Tier 3","Toxicroak, Tier 3","Venusaur, Tier 3","Venusaur, Tier 3","Vileplume, Tier 3","Vileplume, Tier 3","Weezing (Galarian), Tier 3","Weezing (Galarian), Tier 3"
(Boss weights),,,,8.333333333333334,0.0,8.333333333333334,0.0,16.666666666666668,0.0,16.666666666666668,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Mewtwo,Confusion,Psystrike,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0018860041205313,0.9999999999999999,0.9999999999999999,1.0,1.0101993357420194,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.006965260703453,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0
Shadow Mewtwo,Psycho Cut,Psystrike,40,1.0369001279223393,1.0171537951258578,1.0405167743898367,1.0192595606665276,1.0136036085569327,1.0177284630906875,1.015571303762549,1.0164895901952564,1.0121216653119502,1.020995946349397,1.0000730466587873,1.0,1.0349211976005777,1.020108174506329,1.0355194416454885,1.0,1.0249548671995006,1.0112244453657586,1.0182041503296375,1.0361611328395326,1.0279183489360473,1.0341192402047663,1.0181554727636997,1.0087068460786117,1.0086924439899725,1.0190759516800978,1.0171233721656494,1.0054272944825784,1.0301638597200924,1.0292219549920036,1.030662695215469,1.0044197235965961,1.0086752214691106,1.0218750766056797,1.029868917030938,1.0192175809236856,1.0,1.0111835047323758,1.0244418068939576,1.0355582039297344,1.021718646225287,1.017547936867868,1.0424523942797075,1.0372852318532633,1.0249288582679272,1.0416556913960575,1.0036019557331182,1.013751185693793,1.0325768120019447,1.0296536549161848,1.019422599383195,1.026202063583225,1.0174000392166298,1.0362724685751354,1.0272981945048425,1.0441115097596612,1.0283415622993348,1.0112516414569521,1.0235580452728814,1.047620341184823,1.0244221602215677,1.0556209133000414,1.0263077100873261,1.0149812750456328,1.0299128970989697,1.0376397067387857,1.0191880161180669,1.0268188370343763
Shadow Mewtwo,Confusion,Psychic,40,1.0742568821343086,1.0840076957110334,1.078793394486595,1.0821799766578282,1.077337121043421,1.0817050272054,1.0776588987099431,1.0802721018527974,1.0755991748044078,1.0788550980372937,1.0739966054988062,1.108262828292669,1.0754874480340224,1.0912254978592055,1.0903339831326364,1.1030397290584666,1.0749380427822357,1.0768924327929763,1.073113311337438,1.0755552649220363,1.070872309001696,1.080409844078032,1.0800278558342544,1.0718863013045576,1.070421583105066,1.0777350478291938,1.0771879419998944,1.0762839778825848,1.0706056253283422,1.0763011738964032,1.077523164476252,1.075823462449647,1.0774104616111575,1.0711398336786513,1.076855291411241,1.0712750968815372,1.0912842378459675,1.0918476209527141,1.070804700941709,1.0749766741244489,1.0725980713370227,1.0687356088352278,1.0721937208348185,1.07094280860017,1.0805855194989549,1.0722376366532371,1.0622535577552792,1.0676630333125872,1.0645848183600266,1.0706947309022772,1.074747748467869,1.0823727690948768,1.0779430833632337,1.0699378272389144,1.0789567396432995,1.0753924691832646,1.073637183096738,1.0713594187323296,1.0849695709958949,1.0704081910692549,1.0650152370482824,1.0775437533438643,1.0817520565616228,1.0668191819427857,1.0683136459160736,1.079912764355937,1.0621504324210624,1.0756760492269077
Shadow Mewtwo,Psycho Cut,Psychic,40,1.1188270039105237,1.110070357992096,1.120453244162978,1.1090839578944853,1.1083067575140673,1.105367435622426,1.1102514213599266,1.1036430005447189,1.110212534586816,1.1050958636282757,1.0936560209877761,1.0897749796065943,1.1353888553892162,1.1034598671468754,1.1231595149079148,1.0957324374559554,1.1147833335004387,1.094069135157409,1.1020791766264226,1.112270368874113,1.1241035731115372,1.1195722404002217,1.105999149598926,1.092662102949822,1.1053159659641074,1.1051896752503951,1.1092067264954186,1.0914540301896352,1.1153781029507164,1.1143575439894167,1.1163759437073635,1.0987817299022522,1.098239257103125,1.1026263613748526,1.1216404603564938,1.1107879068125892,1.1074489968591064,1.0982824375218043,1.1082362621335295,1.1196159758988105,1.1121676690681044,1.107574296025929,1.1322488880263224,1.1256329561422729,1.108147668898999,1.123190067418786,1.0934191144115624,1.1010975147858095,1.123500884886156,1.117663859502496,1.103604405826534,1.1176390007140484,1.1089352471367053,1.1177170706110948,1.1138489967146352,1.1355726969064686,1.1217253081158858,1.0969427089712767,1.1252453913868685,1.1300451194293493,1.1110139573150086,1.1460664058410241,1.1244539429963176,1.1022579532692582,1.1175240060566571,1.1254610411203585,1.0955324267339377,1.1143439793609966
Mewtwo,Confusion,Psystrike,40,1.1607020787835458,1.1822254159832137,1.162159443483882,1.17869581947204,1.1854289557012296,1.1735593209012,1.1877595486226313,1.18145003630873,1.1380302992537135,1.1812674678935775,1.1204387187428968,1.1818909987040154,1.1671681762240802,1.1760202281829415,1.0965634728072045,1.196516438213181,1.1495884515718298,1.1760397755274996,1.1956446628978328,1.2100757470295538,1.1766489268617024,1.2112530009836993,1.2105409545681798,1.183298728562925,1.176112321872831,1.1850630769854673,1.175970068976469,1.2047325238363633,1.1872741428651896,1.205338427864454,1.1437241727695677,1.179689853533977,1.1872437004744916,1.1721013881684552,1.1802664759482138,1.222642841036783,1.2004866893230903,1.200194944829631,1.203705447730534,1.2051150521675564,1.188832210164854,1.2018766021759364,1.2075807139962427,1.2075858589463102,1.194125056226677,1.2070148130249936,1.2077858831713932,1.2102429033106235,1.176387631021502,1.1599929875426924,1.167318065750975,1.1833528310254953,1.2189405956014672,1.2298113334709335,1.1870091223976489,1.199341532232818,1.203647041201305,1.1946618147481223,1.1915108035948243,1.1802186551641005,1.1791429263841118,1.2010863725090482,1.1543051878102435,1.1797695260758023,1.1575522507684133,1.2067664368305207,1.1574095943131621,1.2058636471358621
