Attacker,Fast Move,Charged Move,Level,"Tapu Koko, Tier 5","Tapu Koko, Tier 5","Arceus (Fairy), Tier 5","Arceus (Fairy), Tier 5","Arceus (Grass), Tier 5","Arceus (Grass), Tier 5","Shaymin, Tier 5","Shaymin, Tier 5","Xerneas, Tier 5","Xerneas, Tier 5","Mega Altaria, Mega Tier","Mega Altaria, Mega Tier","Mega Audino, Mega Tier","Mega Audino, Mega Tier","Mega Gardevoir, Mega Tier","Mega Gardevoir, Mega Tier","Wigglytuff, Tier 3","Wigglytuff, Tier 3","Azumarill, Tier 3","Azumarill, Tier 3","Bellossom, Tier 3","Bellossom, Tier 3","Gardevoir, Tier 3","Gardevoir, Tier 3","Granbull, Tier 3","Granbull, Tier 3","Kirlia, Tier 3","Kirlia, Tier 3","Ludicolo, Tier 3","Ludicolo, Tier 3","Meganium, Tier 3","Meganium, Tier 3","Mr. Mime, Tier 3","Mr. Mime, Tier 3","Tangela, Tier 3","Tangela, Tier 3","Togetic, Tier 3","Togetic, Tier 3"
(Boss weights),,,,12.5,0.0,6.25,0.0,6.25,0.0,12.5,0.0,12.5,0.0,11.666666666666666,0.0,11.666666666666666,0.0,11.666666666666666,0.0,1.3636363636363635,0.0,1.3636363636363635,0.0,1.3636363636363635,0.0,1.3636363636363635,0.0,1.3636363636363635,0.0,1.3636363636363635,0.0,1.3636363636363635,0.0,1.3636363636363635,0.0,1.3636363636363635,0.0,1.3636363636363635,0.0,1.3636363636363635,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Mega Gengar,Lick,Sludge Bomb,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1502738521962623,1.1748449254551696,1.0131352924454642,1.0440743595414566,1.1357379560757337,1.156055580530975,1.0,1.009475401052072,1.0279102894272805,1.0331137856937407,1.0165272004698784,1.0104160076389097,1.0,1.0,1.0269934451516534,1.0341292475513215,1.0,1.0013599087336824,1.0127188751322531,1.0263267475948523,1.033372715101797,1.0089353671284622,1.0069419837074007,1.0119832134039872,1.0014000565338752,1.0
Mega Gengar,Hex,Sludge Bomb,40,1.0194260698552322,1.0343288492739955,1.018925366925883,1.0287269728205695,1.0183353303292801,1.0349261930805873,1.0177754472713318,1.0228292176370344,1.0268196378374843,1.0208579960406676,1.0276178078609586,1.035185983675106,1.1009142639571952,1.1277101680451478,1.0786492207493255,1.139181530861539,1.1137468998259097,1.1662154830498053,1.00846588267489,1.0,1.0217764212413576,1.0218912795204436,1.06659499001558,1.078153526900523,1.0143348856535475,1.0096284729220646,1.0438722040405137,1.0347925564205949,1.0177905237803775,1.0319725298558085,1.0224307411468834,1.0198617381266302,1.0760946738899173,1.075674900442867,1.0,1.0,1.0,1.0083095912926343
Mega Gengar,Shadow Claw,Sludge Bomb,40,1.0341741892659349,1.04323806650406,1.0176912342534923,1.0304684217612126,1.0153413848012047,1.0372484762692946,1.058089149074646,1.0512022795021807,1.0714085946739407,1.0737423019588708,1.0456294765664262,1.0545423581097235,1.262702513018561,1.2979906818047087,1.0,0.9999999999999999,1.323677595154419,1.403153977603226,1.0737938512602916,1.0719644512614377,1.0549330891326472,1.0620742306873117,1.0,1.0,1.0600445649042323,1.0638231951888795,1.0,1.0,1.0398090247232665,1.0581358385019566,1.0584473845355133,1.0699118249082669,1.0,1.0,1.0459527829444402,1.036601436424843,1.0709065856255235,1.0634801429981513
Mega Gengar,Sucker Punch,Sludge Bomb,40,1.1567934627099368,1.1653161933426073,1.1407869176154628,1.133723985157445,1.0539670627712214,1.057092897096314,1.0578205469555497,1.055834217798486,1.1571756196996439,1.1624417590903253,1.1606755264431767,1.1819227566508628,1.1139690910799551,1.1356141120305865,1.2338588858097088,1.2596513343617661,1.1136380587841075,1.1628373425785503,1.1622029501945021,1.1670608430938625,1.0689010305534392,1.072332556180068,,,1.153158741751349,1.1553098004845987,1.1984024203918207,,1.0510880702867325,1.072146946206655,1.0670046999885578,1.0650789564759136,1.221627939779379,1.204028754523772,1.0654581825629599,1.0494594656578924,1.1531954298004155,1.1663799424879495
Mega Gengar,Lick,Sludge Wave,40,1.2884724487676495,1.2346816407920478,1.316870219521225,1.2701381922288248,1.3152041542332917,1.2681707022140964,1.2570383959578357,1.225428687714989,1.238964562273054,1.21805397741935,1.2638112644527713,1.23572069433056,1.5452740871344848,1.5644057034059131,,,1.5343026079308104,1.5957161874729109,1.2485833490269007,1.2287991104943319,1.2661286771115545,1.2651663955946202,1.2072799567358345,1.1879352476488718,1.272202228609519,1.2357412535750305,1.1888181788314602,1.1742856279462937,1.229178432128104,1.2249430349817123,1.2520478920744817,1.2314027625135018,,,1.2396353592261988,1.225038337307562,1.2133822773617553,1.210648581895655
