Attacker,Fast Move,Charged Move,Level,Arceus (Grass),Arceus (Grass),Arceus (Grass),Shaymin,Shaymin,Shaymin,Mega Venusaur,Mega Venusaur,Mega Venusaur,Amoonguss,Amoonguss,Amoonguss,Bellossom,Bellossom,Bellossom,Gloom,Gloom,Gloom,Grotle,Grotle,Grotle,Meganium,Meganium,Meganium,Tangela,Tangela,Tangela,Venusaur,Venusaur,Venusaur,Vileplume,Vileplume,Vileplume
(Boss weights),,,,25.0,0.0,0.0,25.0,0.0,0.0,35.0,0.0,0.0,1.875,0.0,0.0,1.875,0.0,0.0,1.875,0.0,0.0,1.875,0.0,0.0,1.875,0.0,0.0,1.875,0.0,0.0,1.875,0.0,0.0,1.875,0.0,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Arcanine,Fire Fang,Flamethrower,45,1.231246938154825,1.2414964933336003,1.0286142521266735,1.24137010472045,1.2962289375494038,1.0307549841803503,1.2279630265653232,1.2848567204742636,1.0405662490480387,1.2329004111924582,1.2944163072911443,1.027880854477986,1.2445846538539818,1.2951181926554822,1.0336405663943244,1.264362144192811,1.310474236442967,1.0535918346145854,1.2375309063006223,1.2993922268370217,1.0461128095197496,1.2519561531556853,1.2811873826988114,1.067384149492715,1.253461942507879,1.2987192139135602,1.0485255573594796,1.2261526974052641,1.258764233712899,1.0312208325555348,1.22001568627451,1.2581124183006536,1.0310797385620916
Mega Blaziken,Fire Spin,Blast Burn,50,0.9278925217220273,0.9621433007282866,0.7744023369277195,0.9306876177088308,0.9600765016153353,0.7832030150145891,0.9438111308554961,0.9674944375587976,0.7873967775172847,0.9403394845050647,0.9826496840838431,0.7849137498746365,0.9429147404026013,0.9680845908566665,0.7986024287888038,0.9651854352794514,0.9859495117390401,0.7957225223353418,0.925094089131944,0.9637041277419826,0.7894717610805939,0.9525899195778518,0.9697804937756703,0.7926704323937149,0.9559842528040409,0.9793079298379652,0.7859909379344009,0.9271513907037521,0.9418517827142057,0.7779354116109763,0.9260549019607843,0.9517176470588236,0.7656052287581699
Victini,Quick Attack or Confusion,V-Create,45,1.3398725543938503,1.424974093830416,1.1429674538378465,1.4022049484114651,1.495310417609554,1.1778599987068974,1.2925500619708215,1.3722490181731302,1.1318768945898727,1.2945040617791594,1.4012511282719886,1.1375990372079028,1.419077525465453,1.4951298229290844,1.1992265868054546,1.3341860585913152,1.3968418865572407,1.1626194681072095,1.386197824683629,1.4995310768181431,1.1905411495316858,1.4520051136518184,1.5074936759359163,1.2211745079016803,1.4189030019418711,1.5300035017349505,1.193507995628137,1.2865503080082135,1.3463132350196005,1.1226526040694418,1.2862640522875817,1.3504627450980393,1.1157333333333335
Mega Alakazam,Psycho Cut or Confusion,Fire Punch,35,1.4720222474353348,1.5039728863934787,1.3021506218391286,1.5272750783682714,1.548711381596648,1.4107060548484045,1.3038003792912929,1.3047739931608107,1.184299729717622,1.245850466352422,1.3028532744960384,1.126704944338582,1.5003052946820572,1.556653970284651,1.3308619001928685,1.2480131934344483,1.284386037814253,1.1388946602950343,1.4733322777486815,1.5369109533147387,1.2943497801541965,1.5014914817803489,1.5396262682128514,1.3449085617400924,1.5077197338681438,1.5710905251541294,1.3651566761107397,1.2346275900690684,1.2592495799887997,1.1344129176778048,1.2287372549019608,1.2529150326797387,1.126002614379085
Darmanitan (Galarian Standard),Ice Fang,Avalanche,40,1.3537480627284433,1.3785906679511999,1.3595393892153844,1.4059966587898645,1.404634729814565,1.4434006928526886,1.4177520271178343,1.4088073230098408,1.4374034972449117,1.3098861698926887,1.405977334269381,1.3043827098585898,1.3346029715349053,1.4018162610608746,1.3290398239951928,1.364027114066071,1.4152945148555993,1.36344275919385,1.3309866874535643,1.3934935386039486,1.3499628515401385,1.3733328497728778,1.4124649796451272,1.4052659733618635,1.349165419836798,1.4173961947813538,1.415634715988073,1.339919731192832,1.3811741646443905,1.384132910210939,1.3225725490196079,1.3666300653594772,1.3426614379084967
Reshiram,Fire Fang,Overheat,45,1.2040003860884325,1.2196861392431575,1.0044746192384952,1.1672044165709006,1.2227619419063251,0.9627878456702964,1.1642480624785343,1.2090611793868622,0.9739991339017725,1.1653670644870122,1.2290893591415104,0.9711413097984154,1.1814128844047722,1.2352416673935587,0.9751887496486688,1.1930708497818407,1.24546800332433,0.9867935798878038,1.1472175194572671,1.2001023105124051,0.9532538396891709,1.1589040102273036,1.181643440653532,0.9941791410152957,1.160581075775422,1.2157387069047847,0.9756151911628944,1.1377636736979653,1.1850102669404516,0.979419451185365,1.1447529411764705,1.1904209150326799,0.9685228758169935
Kyurem (White),Steel Wing,Blizzard,35,1.5763699309957986,1.6353941106944674,1.5756997397545425,1.5482149970696628,1.6741652710196948,1.574341925513122,1.5766362536771843,1.6436632968477012,1.594492809891439,1.574867114632434,1.7018980042122154,1.568122555410691,1.5831419184136306,1.673257155041239,1.588026633326549,1.626441408684812,1.7039528360689797,1.6306487637648037,1.5945580551258784,1.676175048414796,1.5897835645469713,1.59859646577752,1.6818293092036667,1.6155422374946733,1.5778287121043306,1.6561296278610766,1.5784547798682074,1.5259473585962293,1.5981146163897704,1.5382863543027814,1.5470849673202616,1.6179450980392158,1.554258823529412
