Attacker,Fast Move,Charged Move,Level,Arceus (Flying),Arceus (Flying),Articuno (Galarian),Articuno (Galarian),Moltres (Galarian),Moltres (Galarian),Lugia,Lugia,Thundurus,Thundurus,Thundurus (Therian),Thundurus (Therian),Tornadus,Tornadus,Tornadus (Therian),Tornadus (Therian),Yveltal,Yveltal,Zapdos,Zapdos,Mega Aerodactyl,Mega Aerodactyl,Mega Pidgeot,Mega Pidgeot,Aerodactyl,Aerodactyl,Braviary (Hisuian),Braviary (Hisuian),Drifblim,Drifblim,Farfetch'd,Farfetch'd,Fearow,Fearow,Golbat,Golbat,Noctowl,Noctowl,Swellow,Swellow,Togekiss,Togekiss,Togetic,Togetic,Tranquill,Tranquill,Xatu,Xatu
(Boss weights),,,,6.25,0.0,6.25,0.0,6.25,0.0,6.25,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,6.25,0.0,6.25,0.0,17.5,0.0,17.5,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Walrein,Waterfall or Frost Breath,Icicle Spear,30,1.4391379104988133,1.4958144620186478,1.5290445070571983,1.611512072745325,1.4985342241055817,1.5783940208797278,1.5178908158201703,1.5972597619369848,1.6069647517248775,1.6377757122939978,1.553972305532512,1.4913087869312742,1.4676625758094652,1.5645773093979893,1.4954624930297618,1.4999990548829472,1.479006838169662,1.4985031393155739,1.5911880160181935,1.5897958174716962,1.4231548601975985,1.5024377956282011,1.4374440161434798,1.5195201239948068,1.4953167154310902,1.5794733442261657,1.5469806430265263,1.6365300832735896,1.5845166595691567,1.6788352251868603,1.5040686083980088,1.6001479493962911,1.4678544947005714,1.5688489553801195,1.6107715652595418,1.7182975405171868,1.5016538250127773,1.5979903374188758,1.4937439168826296,1.5746098010014424,1.4877050897158417,1.5811492005864693,1.541417920008199,1.6450160991399558,1.5090906660249725,1.588045774177161,1.5340820743417873,1.6221764619360803
Mega Glalie,Ice Shard,Avalanche,50,1.0912068581131638,1.1318833852008172,1.1252181393401155,1.195702962905417,1.1298289081485342,1.185510366943763,1.1524982438502536,1.1967454839562026,1.1226651592607155,1.1780779680406106,1.129432284687214,1.118856486503733,1.0892178240570147,1.1468200123982886,1.104563970247715,1.136195147769051,1.1072620105703297,1.13538357887685,1.1255529737479606,1.184179561971622,1.0914663158778584,1.1526155224047692,1.081998946580917,1.1580900237187035,1.1504445795493408,1.195671999088042,1.1447636905090166,1.1968896487067777,1.1813829865343104,1.2570375482753051,1.0868513108567273,1.1800970447734995,1.0921620796440878,1.174325031622105,1.18061497607958,1.2392674239710004,1.118516089836932,1.1914579697007686,1.1196336644112717,1.1761318995743284,1.0980590658381624,1.1638693011240662,1.123762672201013,1.197169626004595,1.1142750193845083,1.1706906232453678,1.1647370301107351,1.2223529658969132
Mega Glalie,Frost Breath,Avalanche,50,1.083461856784664,1.1277421305472504,1.0967373365494477,1.154174537999352,1.1048197726531608,1.1577794273560156,1.1366986962602066,1.1807912662967475,1.1153277267364958,1.1751488042040539,1.1018335354051005,1.0846446727500902,1.0824637913619477,1.1398297186108715,1.0894307559991305,1.1211961401419566,1.092211566460424,1.1209059956264642,1.1092618776882384,1.1681574133583823,1.0601136331831285,1.114500825659828,1.0725617877259903,1.1303220308846371,1.1519075122544364,1.182705095565604,1.1387966690564164,1.189499806981746,1.1643783315467189,1.2271986372780805,1.1003548277894102,1.1582933159471895,1.0903846992628778,1.1559514982335237,1.1835549748150647,1.2384560264705262,1.109952844289723,1.1605704973046993,1.1002732272476752,1.1518346095664718,1.093793199748656,1.155072261397752,1.109235013280723,1.1679605763235885,1.0958530520574317,1.1572016790994892,1.1323044273076843,1.1954886428106155
